web-scraper-order,web-scraper-start-url,2023 Porsche Taycan,Price
"1683538487-491","https://www.carsguide.com.au/porsche/taycan/price/2020","null","Price: $146,410 - $168,300"
"1683538487-492","https://www.carsguide.com.au/porsche/taycan/price/2020","null","Price: $206,250 - $237,050"
"1683538487-493","https://www.carsguide.com.au/porsche/taycan/price/2020","null","Price: $259,930 - $298,760"
"1683538489-494","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $162,360 - $186,560"
"1683538489-495","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $197,560 - $227,040"
"1683538489-496","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $230,230 - $264,660"
"1683538489-497","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $288,200 - $331,210"
"1683538489-498","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $128,040 - $147,180"
"1683538489-499","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $159,170 - $182,930"
"1683538489-500","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $224,180 - $257,730"
"1683538489-501","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $282,590 - $324,830"
"1683538489-502","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $147,180 - $169,180"
"1683538489-503","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $152,900 - $175,780"
"1683538489-504","https://www.carsguide.com.au/porsche/taycan/price/2021","null","Price: $206,360 - $237,160"
"1683538492-505","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $169,840 - $195,250"
"1683538492-506","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $206,800 - $237,710"
"1683538492-507","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $241,120 - $277,090"
"1683538492-508","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $301,730 - $346,830"
"1683538492-509","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $133,980 - $154,000"
"1683538492-510","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $154,110 - $177,100"
"1683538492-511","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $179,190 - $205,920"
"1683538492-512","https://www.carsguide.com.au/porsche/taycan/price/2022","null","Price: $243,430 - $279,840"
"1683538494-513","https://www.carsguide.com.au/porsche/taycan/price/2023","4S","Price: $198,800"
"1683538494-514","https://www.carsguide.com.au/porsche/taycan/price/2023","GTS","Price: $241,900"
"1683538494-515","https://www.carsguide.com.au/porsche/taycan/price/2023","Turbo","Price: $281,900"
"1683538494-516","https://www.carsguide.com.au/porsche/taycan/price/2023","Turbo S","Price: $352,600"
"1683538494-517","https://www.carsguide.com.au/porsche/taycan/price/2023","(base)","Price: $159,700"
"1683538494-518","https://www.carsguide.com.au/porsche/taycan/price/2023","4 Cross Turismo","Price: $180,400"
"1683538494-519","https://www.carsguide.com.au/porsche/taycan/price/2023","4S Cross Turismo","Price: $209,600"
"1683538494-520","https://www.carsguide.com.au/porsche/taycan/price/2023","Turbo Cross Turismo","Price: $284,600"
